szName	szDesc
芙蓉出水宴	提高当前功体最受益的属性，持续60分钟
佳·安荣力劲汤	力道提高73点，持续30分钟
佳·八珍强体汤	体质提高97点，持续30分钟
佳·白芷增骨汤	根骨提高73点，持续30分钟
佳·薄荷蒸排骨	每秒气血回复提高22点，持续30分钟
佳·葱爆肉丁	疗伤成效提高521点，持续30分钟
佳·佛手排骨	外功会心效果等级提高195点，持续30分钟
佳·锅包肉	每秒内力回复提高38点，持续30分钟
佳·合饼卷菜	内功会心效果等级提高195点，持续30分钟
佳·黑山剁	气血上限提高973点，持续30分钟
佳·红山剁	内力上限提高1056点，持续30分钟
佳·虎皮凤爪	内功破防值提高195点，持续30分钟
佳·回元餐	回复精力51点
佳·君子知身汤	身法提高73点，持续30分钟
佳·麻香软骨脆	外功攻击提高220点，持续30分钟
佳·肉骨茶	招式附加威胁值提高34%，持续30分钟
佳·甜菜蜜肉	拆招值提高1209点，持续30分钟
佳·逍遥固元汤	元气提高73点，持续30分钟
佳·芋丝蒸肉糕	外功破防值提高195点，持续30分钟
佳·转神餐	回复体力51点
佳·走油蹄髈	内功伤害提高264点，持续30分钟
血丸子	精力值恢复18点，体力值恢复20点
壁	与珠合二为一，可得到珠联璧合
彩锦香包	对好友使用，增加好感度8点
刺绣手绢	对好友使用，增加好感度14点
丹青染布画	对好友使用，增加好感度14点
固·安戎·锻（加速）	帽子加速等级提高130
固·安戎·铸（加速）	鞋子加速等级提高130
挂件包·背部	增加背部挂件背包格数一格
挂件包·腰部	增加腰部挂件背包格数一格
鬼虎染（下装）	下装御劲等级提高43
鬼虎绣（护手）	护腕化劲等级提高43
角砾染（腰带）	腰带外功会心等级提高43
角砾绣（上装）	上衣外功破防等级提高43
纱制薄贴	对目标使用，8秒内回复气血3000点
山水刺绣手绢	对好友使用，增加好感度18点
山水丹青染布画	对好友使用，增加好感度18点
山水绣染（护手）	元气永久提升3点（护腕）
山水绣染（头部）	元气永久提升3点（帽子）
水波绫香袋	对好友使用，增加好感度10点
丝制薄贴	对目标使用，3秒内回复气血1000点
五彩球·赤	抛给其他玩家，可以增加其攻击能力
五彩球·蓝	抛给其他玩家，可以增加其生存能力
小香包	对好友使用，增加好感度4点
杏黄染（鞋子）	鞋子移动速度提高5%
杏黄绣（鞋子）	鞋子移动速度提高5%
